fips,r,pop,x,y,xInitial,yInitial,dem,rep,index,vy,vx
16001,2.2698546489663145,444028,113.13297390476042,108.07163921417802,128.30237375722118,122.59174813616016,38.6,47.9,521,-0.0033235452337686947,-0.003474045030047801
16003,1.0108330188338654,3900,114.78977699932076,92.4318703612755,130.442265100951,105.03568220638306,19,71.2,522,-0.0028735897955911613,-0.003568668799345513
16005,1.2410439659405461,84377,142.13899012498254,121.87152011475114,161.52075834396072,138.48965953787263,30.9,51.4,523,-0.0037888312246211163,-0.0044189212009054304
16007,1.0166829062157654,5945,148.41524116967247,127.38948689680737,168.65282553681195,144.7600444503504,8.7,75.2,524,-0.003960377824028358,-0.004614041897761363
16009,1.0256851534484497,9092,118.68727465616054,67.64121555590147,134.87121718948785,76.86462681555417,18.6,73.9,525,-0.002102879732099996,-0.003689837065780673
16011,1.1289778593032298,45201,141.79331920435018,116.06793360186965,161.12795247704915,131.89470839989747,17.5,65.6,526,-0.0036084050694858466,-0.004408174729733969
16013,1.0620116668287662,21791,130.223224141891,111.9972811363496,147.98018403605437,127.26899048388168,59.8,31.1,527,-0.0034818536393287323,-0.004048475126387723
16015,1.020055530774817,7124,118.12772319738511,103.0402833851267,134.2353664924032,117.09063570599449,20.3,70.1,528,-0.0032033919222127015,-0.003672441319532538
16017,1.1213544119326853,42536,121.46016405421601,56.29652722564782,138.0222118460847,63.97300108592697,30.5,60.7,529,-0.0017501877386072748,-0.0037760426856324743
16019,1.3207254393013397,112232,148.0827397168017,115.177667734512,168.27498489807567,130.88304778589622,20.1,60.3,530,-0.003580727831085249,-0.00460370484866505
16021,1.0330911966913539,11681,123.0199773961574,51.62261293759661,139.79471799407298,58.661761857500665,18.1,73.5,531,-0.001604881662346823,-0.003824535307115849
16023,1.006831066536908,2501,136.73036460103697,110.0206350971367,155.37462422933086,125.0228132249149,13,74.3,532,-0.0034204022171560877,-0.004250773882745186
16025,1.0027432968211454,1072,123.8910515294061,109.99864029213397,140.7845699302124,124.99781925541663,18.3,68.4,533,-0.0034197184265223504,-0.0038516158988070415
16027,1.6052559519311975,211698,109.40219366905335,104.93364358472678,124.76521120132438,119.61660622487057,23.1,64.9,534,-0.003325030125515453,-0.0034758104259995913
16029,1.0193775731662544,6887,147.6070890370181,121.77035681017695,167.73447551048332,138.37470182178777,8.92,74.9,535,-0.003785686185593166,-0.004588917471385441
16031,1.0669118414425534,23504,130.69269111749034,124.25714168685207,148.51366652280592,141.20057935732984,12.6,72.7,536,-0.00386299717819251,-0.004063070260135168
16033,1.002136853728254,860,144.06432438353423,104.73907774558903,163.7086270577697,119.02107402647971,15.5,71.7,537,-0.003256205287559007,-0.0044787774047975685
16035,1.0239831079754764,8497,124.52187556535385,74.87317855141512,141.50141178042043,85.08272479362279,18.5,75,538,-0.0023277123032118254,-0.003871227419221244
16037,1.0113936926367273,4096,129.76689585370798,102.2480217602822,147.46163179999076,116.19034298308179,17.6,73.6,539,-0.003178761511601153,-0.004034288457793471
16039,1.074103341138444,26018,118.66983167886733,109.6889006405032,134.85139572517554,124.64584416837977,21.2,68.2,540,-0.0034100890130014804,-0.0036892947857060767
16041,1.038025698272663,13406,144.3515251918743,127.949002926914,164.03498995312552,145.39585488778874,7,70.9,541,-0.003977772468844046,-0.004487706114223288
16043,1.0367012494424335,12943,150.57790313495897,106.58614269102613,171.1103834550691,121.1200007912978,11.3,71.5,542,-0.003313628197625164,-0.004681276319508649
16045,1.0488329718808869,17184,113.32086881326413,101.15181222198044,128.5743320628052,114.94753985711736,15.4,75.2,543,-0.0031454023581865315,-0.0034733332245441427
16047,1.043114671207822,15185,122.71938088030433,115.1669113410135,139.45313278122285,130.87082467362143,17.9,72.1,544,-0.0035803934284330706,-0.0038151901421076173
16049,1.0458922949964895,16156,124.07429260680779,83.80228672894467,140.9927973684098,95.22938703528973,14.5,78.3,545,-0.0026053069688005493,-0.003857312631850487
